Time,Parris_sessions,Schultz_sessions,Parris_subscriptions,Schultz_subscriptions,Parris_messages_inbound,Schultz_messages_inbound,Parris_messages_outbound,Schultz_messages_outbound,Parris_received_bytes,Schultz_received_bytes,Parris_sent_bytes,Schultz_sent_bytes
2026-04-28 15:28:00,22,3,316,206,23.7113,1.874,24.0006,1.9373,66850.05,5334.88,67754.64,5349.1
2026-04-28 15:30:00,22,3,316,206,24.1972,1.9588,24.1554,1.9119,68555.95,5576.13,67920.75,5591.0
2026-04-28 15:32:00,22,3,316,206,23.9712,1.9277,24.0847,1.913,67216.03,5487.67,67881.49,5502.3
2026-04-28 15:34:00,22,3,316,206,24.6172,1.9167,24.0556,1.9432,69192.61,5456.31,67663.81,5470.86
2026-04-28 15:36:00,22,3,316,206,24.4788,1.9167,24.0726,1.9229,68879.64,5456.31,67792.89,5470.86
2026-04-28 15:38:00,22,3,316,206,24.4025,1.7367,24.0746,1.5291,68627.2,4944.05,67820.47,4957.23
2026-04-28 15:40:00,22,3,316,206,23.9528,1.8977,24.0418,1.8596,67361.72,5402.43,67717.53,5416.83
2026-04-28 15:42:00,22,3,316,206,23.2856,1.9333,23.9706,1.9045,65751.45,5503.75,67684.86,5518.43
2026-04-28 15:44:00,22,3,316,206,23.8596,1.948,23.852,1.9147,68018.13,5545.57,67864.64,5560.36
2026-04-28 15:46:00,22,3,316,206,23.563,1.935,23.6684,1.9017,67362.04,5508.58,67579.36,5523.27
2026-04-28 15:48:00,22,3,316,206,23.4316,1.735,23.6119,1.9305,67175.29,4939.22,67669.02,4952.39
2026-04-28 15:50:00,22,3,316,206,23.6339,1.9186,23.7017,1.9178,67740.9,5461.93,67774.79,5476.5
2026-04-28 15:52:00,22,3,316,206,23.8138,1.696,23.8429,1.9325,67844.91,4828.25,67810.68,4841.12
2026-04-28 15:54:00,22,3,316,206,24.028,1.9088,23.8927,1.9011,68050.0,5433.79,67702.88,5448.28
2026-04-28 15:56:00,22,3,316,206,24.3266,1.8839,23.7873,1.9164,69017.38,5363.02,67520.32,5377.32
2026-04-28 15:58:00,22,3,316,206,23.7333,6.0,23.7167,5.6667,67575.72,17080.61,67747.1,17126.16
