timestamp,sessions,subscriptions,messages_inbound,messages_outbound,received_kb,sent_kb,total_kb
2026-04-28 15:46:30,3,7,3866,3827,39425.1865,38947.4756,78372.6621
2026-04-28 15:47:30,3,7,3960,3935,40297.8945,40071.3516,80369.2461
2026-04-28 15:48:30,3,7,4069,4016,41416.29,40902.79,82319.0801
2026-04-28 15:49:30,3,7,4179,4124,42544.4639,41995.5547,84540.0186
2026-04-28 15:50:30,3,7,4289,4235,43651.6934,43120.291,86771.9844
2026-04-28 15:51:30,3,7,4399,4345,44765.4043,44236.3311,89001.7354
2026-04-28 15:52:30,3,7,4509,4452,45889.5801,45324.6592,91214.2393
2026-04-28 15:53:31,3,7,4617,4559,46996.9854,46426.6123,93423.5977
2026-04-28 15:54:31,3,7,4728,4669,48115.0879,47530.6602,95645.748
2026-04-28 15:55:31,3,7,4821,4774,48982.1436,48615.1914,97597.335
2026-04-28 15:56:31,3,7,4917,4883,50048.1621,49719.3525,99767.5146
2026-04-28 15:57:31,3,7,5027,4990,51164.4082,50813.3809,101977.7891
2026-04-28 15:58:31,3,7,5135,5098,52272.0986,51922.9375,104195.0361
2026-04-28 15:59:31,3,7,5243,5205,53400.7793,53032.8018,106433.5811
2026-04-28 16:00:31,3,7,5350,5311,54501.4941,54120.4912,108621.9854
2026-04-28 16:01:31,3,7,5457,5418,55602.0479,55220.0723,110822.1201
2026-04-28 16:02:31,3,7,5565,5499,56711.6807,56039.0918,112750.7725
2026-04-28 16:03:31,3,7,5674,5607,57820.0654,57136.542,114956.6074
2026-04-28 16:04:31,3,7,5782,5716,58938.5332,58274.7969,117213.3301
2026-04-28 16:05:31,3,7,5877,5823,59807.3242,59369.3408,119176.665
2026-04-28 16:06:31,3,7,5974,5931,60911.7441,60472.7969,121384.541
2026-04-28 16:07:31,3,7,6086,6043,62050.9326,61604.5234,123655.4561
2026-04-28 16:08:31,3,7,6197,6152,63179.5576,62717.5615,125897.1191
2026-04-28 16:09:31,3,7,6307,6260,64320.5635,63826.1846,128146.748
2026-04-28 16:10:31,3,7,6417,6370,65439.8555,64945.8877,130385.7432
