timestamp,sessions,subscriptions,messages_inbound,messages_outbound,received_kb,sent_kb,total_kb
2026-04-28 14:01:44,1,1,0,0,0.1494,0.0215,0.1709
2026-04-28 14:03:43,1,1,0,0,0.1533,0.0254,0.1787
2026-04-28 14:05:43,6,16,453,491,1182.5996,1264.084,2446.6836
2026-04-28 14:06:02,6,16,570,564,1455.1533,1439.3799,2894.5332
2026-04-28 14:07:01,6,16,846,847,2121.4746,2127.835,4249.3096
2026-04-28 14:08:01,6,16,1113,1134,2776.9912,2818.9307,5595.9219
2026-04-28 14:09:01,6,16,1380,1429,3409.4883,3526.6426,6936.1309
2026-04-28 14:10:01,6,16,1665,1703,4121.6904,4213.4277,8335.1182
2026-04-28 14:11:02,6,16,1953,1988,4821.6494,4909.5068,9731.1562
2026-04-28 14:12:02,6,16,2235,2269,5520.8145,5608.7607,11129.5752
2026-04-28 14:13:02,6,16,2521,2478,6231.7393,6128.1045,12359.8438
2026-04-28 14:14:02,6,16,2805,2760,6935.5918,6825.4209,13761.0127
2026-04-28 14:15:02,6,16,3092,3043,7642.6797,7522.5098,15165.1895
2026-04-28 14:16:02,6,16,3336,3326,8251.7871,8222.1523,16473.9395
2026-04-28 14:17:02,6,16,3629,3613,8956.9463,8914.96,17871.9062
2026-04-28 14:18:02,6,16,3926,3904,9666.2637,9609.1973,19275.4609
2026-04-28 14:19:02,6,16,4226,4194,10379.9424,10298.5107,20678.4531
2026-04-28 14:20:02,6,16,4496,4484,11011.7686,10987.3184,21999.0869
2026-04-28 14:21:02,6,16,4794,4775,11718.9443,11679.0566,23398.001
2026-04-28 14:22:02,6,16,5089,5066,12424.7148,12374.0674,24798.7822
2026-04-28 14:23:02,6,16,5385,5359,13128.4189,13067.9072,26196.3262
2026-04-28 14:24:02,6,16,5652,5647,13781.0176,13758.6016,27539.6191
2026-04-28 14:25:02,6,16,5936,5933,14455.3252,14443.6426,28898.9678
2026-04-28 14:26:02,6,16,6232,6225,15162.1211,15139.6572,30301.7783
2026-04-28 14:27:02,6,16,6522,6509,15872.9639,15831.4385,31704.4023
2026-04-28 14:28:02,6,16,6792,6774,16563.293,16514.7773,33078.0703
2026-04-28 14:29:02,6,16,7064,7054,17227.8203,17203.833,34431.6533
2026-04-28 14:30:02,6,16,7348,7336,17925.7578,17895.7012,35821.459
2026-04-28 14:31:02,6,16,7634,7623,18628.876,18602.4932,37231.3691
2026-04-28 14:32:02,6,16,7907,7906,19288.3115,19291.1631,38579.4746
2026-04-28 14:33:02,6,16,8183,8190,19970.2188,19977.752,39947.9707
2026-04-28 14:34:02,6,16,8453,8473,20630.7012,20668.7373,41299.4385
2026-04-28 14:35:02,6,16,8734,8765,21304.4971,21373.4678,42677.9648
2026-04-28 14:36:02,6,16,9031,9056,22013.5576,22074.2754,44087.833
2026-04-28 14:37:02,6,16,9324,9342,22722.3213,22760.6641,45482.9854
2026-04-28 14:38:02,6,16,9613,9624,23426.9199,23448.4766,46875.3965
2026-04-28 14:39:02,6,16,9907,9911,24135.5078,24140.3184,48275.8262
2026-04-28 14:40:02,6,16,10181,10190,24799.1934,24825.1416,49624.335
2026-04-28 14:41:02,6,16,10468,10471,25500.4766,25510.0625,51010.5391
2026-04-28 14:42:02,6,16,10717,10745,26120.5293,26198.042,52318.5713
2026-04-28 14:43:02,6,16,10988,11026,26803.7246,26887.8516,53691.5762
2026-04-28 14:44:02,6,16,11282,11314,27504.6133,27578.0615,55082.6748
2026-04-28 14:45:02,6,16,11567,11593,28203.7236,28265.4941,56469.2178
2026-04-28 14:46:02,6,16,11848,11868,28910.96,28956.3027,57867.2627
2026-04-28 14:47:02,6,16,12114,12148,29568.3301,29650.4668,59218.7969
2026-04-28 14:48:02,6,16,12403,12428,30274.4443,30333.7344,60608.1787
2026-04-28 14:49:02,6,16,12684,12710,30965.4883,31031.1592,61996.6475
2026-04-28 14:50:02,6,16,12970,12992,31664.5068,31720.459,63384.9658
2026-04-28 14:51:02,6,16,13265,13279,32375.6016,32410.582,64786.1836
2026-04-28 14:52:02,6,16,13552,13561,33073.5303,33097.1875,66170.7178
2026-04-28 14:53:02,6,16,13840,13844,33773.125,33783.2725,67556.3975
2026-04-28 14:54:02,6,16,14104,14132,34415.6104,34474.7715,68890.3818
2026-04-28 14:55:02,6,16,14397,14419,35120.2441,35162.1465,70282.3906
2026-04-28 14:56:02,6,16,14669,14700,35780.1211,35851.9521,71632.0732
2026-04-28 14:57:02,6,16,14951,14980,36475.3223,36541.3281,73016.6504
2026-04-28 14:58:02,1,1,0,15201,0.2607,37053.8838,37054.1445
2026-04-28 14:59:02,1,1,0,15201,0.2627,37053.8857,37054.1484
2026-04-28 15:00:02,1,1,0,15201,0.2646,37053.8877,37054.1523
2026-04-28 15:01:02,1,1,0,15201,0.2666,37053.8896,37054.1562
2026-04-28 15:02:02,1,1,0,15201,0.2686,37053.8916,37054.1602
2026-04-28 15:03:02,1,1,0,15201,0.2705,37053.8936,37054.1641
2026-04-28 15:04:02,1,1,0,15201,0.2725,37053.8955,37054.168
2026-04-28 15:05:02,1,1,0,15201,0.2744,37053.8975,37054.1719
2026-04-28 15:06:02,1,1,0,15201,0.2764,37053.8994,37054.1758
2026-04-28 15:10:31,3,7,14,15206,43.5039,37072.2441,37115.748
2026-04-28 15:11:30,3,7,108,55,1150.1572,557.5186,1707.6758
2026-04-28 15:12:30,3,7,220,166,2280.8213,1672.8848,3953.7061
2026-04-28 15:13:30,3,7,318,276,3167.7598,2789.8877,5957.6475
2026-04-28 15:14:30,3,7,429,386,4280.667,3896.3926,8177.0596
2026-04-28 15:15:30,3,7,539,494,5394.9717,5006.2949,10401.2666
2026-04-28 15:16:30,3,7,649,604,6527.335,6127.3662,12654.7012
2026-04-28 15:17:30,3,7,762,713,7660.1787,7231.4053,14891.584
2026-04-28 15:18:30,3,7,856,821,8740.0918,8371.7246,17111.8164
2026-04-28 15:19:30,3,7,965,930,9857.4023,9471.709,19329.1113
2026-04-28 15:20:30,3,7,1072,1036,10974.8809,10578.5879,21553.4688
2026-04-28 15:21:30,3,7,1180,1118,12093.1475,11418.8232,23511.9707
2026-04-28 15:22:30,3,7,1289,1226,13222.4941,12549.877,25772.3711
2026-04-28 15:23:30,3,7,1398,1335,14353.54,13676.0938,28029.6338
2026-04-28 15:24:30,3,7,1491,1440,15230.7344,14766.4082,29997.1426
2026-04-28 15:25:30,3,7,1601,1552,16352.5654,15909.21,32261.7754
2026-04-28 15:26:30,3,7,1715,1665,17490.584,17030.999,34521.583
2026-04-28 15:27:30,3,7,1829,1776,18643.9814,18146.8359,36790.8174
2026-04-28 15:28:30,3,7,1927,1887,19740.1025,19276.4512,39016.5537
2026-04-28 15:29:30,3,7,2037,1996,20854.54,20389.2168,41243.7568
2026-04-28 15:30:30,3,7,2150,2106,21991.6104,21503.0488,43494.6592
2026-04-28 15:31:30,3,7,2259,2215,23104.292,22601.3721,45705.6641
2026-04-28 15:32:30,3,7,2359,2325,24000.5049,23725.2529,47725.7578
2026-04-28 15:33:30,3,7,2470,2434,25128.0,24824.6592,49952.6592
2026-04-28 15:34:30,3,7,2580,2544,26246.3662,25936.2949,52182.6611
2026-04-28 15:35:30,3,7,2692,2626,27380.834,26765.1377,54145.9717
2026-04-28 15:36:30,3,7,2801,2734,28496.0352,27865.2246,56361.2598
2026-04-28 15:37:30,3,7,2901,2845,29605.085,28974.9102,58579.9951
2026-04-28 15:38:30,3,7,3012,2954,30726.8555,30084.2559,60811.1113
2026-04-28 15:39:30,3,7,3123,3063,31845.4404,31190.9639,63036.4043
2026-04-28 15:40:30,3,7,3232,3172,32958.8369,32291.6338,65250.4707
2026-04-28 15:41:30,3,7,3328,3279,33847.1396,33398.6973,67245.8369
2026-04-28 15:42:30,3,7,3437,3390,34965.5918,34532.6162,69498.208
2026-04-28 15:43:30,3,7,3543,3496,36068.2363,35635.5098,71703.7461
2026-04-28 15:44:30,3,7,3654,3606,37198.501,36742.541,73941.042
2026-04-28 15:45:30,3,7,3766,3715,38329.958,37838.4326,76168.3906
